Title,Description,Priority,Labels
Task 1,Description for task 1,High,SPM,Planning
Task 2,Description for task 2,Medium,SPM,Research
Task 3,Description for task 3,Low,SPM,Analytics
Task 4,Description for task 4,High,SPM,Risk
Task 5,Description for task 5,Medium,SPM,Roadmap
Task 6,Description for task 6,Low,SPM,Backlog
Task 7,Description for task 7,High,SPM,Process
Task 8,Description for task 8,Medium,SPM,UX
Task 9,Description for task 9,Low,SPM,Release
Task 10,Description for task 10,High,SPM,Architecture
Task 11,Description for task 11,Medium,SPM,Backend
Task 12,Description for task 12,Low,SPM,Data
Task 13,Description for task 13,High,SPM,Observability
Task 14,Description for task 14,Medium,SPM,Performance
Task 15,Description for task 15,Low,SPM,Governance
Task 16,Description for task 16,High,SPM,Security
Task 17,Description for task 17,Medium,SPM,Frontend
Task 18,Description for task 18,Low,SPM,Quality
Task 19,Description for task 19,High,SPM,Testing
Task 20,Description for task 20,Medium,SPM,CI
... (continue until 1500 rows)
